# DataSet FAZIAT2103
# Runlist generated by KVFAZIADB::BuildQuickAndDirtyDataBase from files located at:
# --dir=/data/eindraX/fazia/FAZIAT2103/raw/
run=279 | starting date=Sun Apr 18 22:09:53 2021 | nfiles=10 | size(GB)=1.25
run=111 | starting date=Sun Apr 18 15:30:56 2021 | nfiles=10 | size(GB)=1.25
run=369 | starting date=Mon Apr 19 01:28:12 2021 | nfiles=10 | size(GB)=1.25
run=523 | starting date=Mon Apr 19 05:35:23 2021 | nfiles=10 | size(GB)=1.25
run=219 | starting date=Sun Apr 18 18:13:24 2021 | nfiles=10 | size(GB)=1.25
run=284 | starting date=Sun Apr 18 22:20:11 2021 | nfiles=10 | size(GB)=1.25
run=168 | starting date=Sun Apr 18 17:03:55 2021 | nfiles=10 | size(GB)=1.25
run=336 | starting date=Mon Apr 19 00:11:41 2021 | nfiles=10 | size(GB)=1.25
run=347 | starting date=Mon Apr 19 00:36:05 2021 | nfiles=10 | size(GB)=1.25
run=480 | starting date=Mon Apr 19 04:54:45 2021 | nfiles=10 | size(GB)=1.25
run=365 | starting date=Mon Apr 19 01:19:39 2021 | nfiles=10 | size(GB)=1.25
run=429 | starting date=Mon Apr 19 04:06:00 2021 | nfiles=10 | size(GB)=1.25
run=311 | starting date=Sun Apr 18 23:20:03 2021 | nfiles=10 | size(GB)=1.25
run=179 | starting date=Sun Apr 18 17:17:54 2021 | nfiles=10 | size(GB)=1.25
run=456 | starting date=Mon Apr 19 04:33:31 2021 | nfiles=10 | size(GB)=1.25
run=166 | starting date=Sun Apr 18 17:01:24 2021 | nfiles=10 | size(GB)=1.25
run=202 | starting date=Sun Apr 18 17:48:58 2021 | nfiles=10 | size(GB)=1.25
run=503 | starting date=Mon Apr 19 05:15:25 2021 | nfiles=10 | size(GB)=1.25
run=417 | starting date=Mon Apr 19 03:30:35 2021 | nfiles=10 | size(GB)=1.25
run=287 | starting date=Sun Apr 18 22:26:24 2021 | nfiles=10 | size(GB)=1.25
run=530 | starting date=Mon Apr 19 05:42:42 2021 | nfiles=10 | size(GB)=1.25
run=346 | starting date=Mon Apr 19 00:34:01 2021 | nfiles=10 | size(GB)=1.25
run=404 | starting date=Mon Apr 19 02:52:15 2021 | nfiles=10 | size(GB)=1.25
run=330 | starting date=Sun Apr 18 23:59:52 2021 | nfiles=10 | size(GB)=1.25
run=522 | starting date=Mon Apr 19 05:34:18 2021 | nfiles=10 | size(GB)=1.25
run=534 | starting date=Mon Apr 19 05:46:23 2021 | nfiles=10 | size(GB)=1.25
run=120 | starting date=Sun Apr 18 15:55:45 2021 | nfiles=10 | size(GB)=1.25
run=334 | starting date=Mon Apr 19 00:07:48 2021 | nfiles=10 | size(GB)=1.25
run=514 | starting date=Mon Apr 19 05:25:54 2021 | nfiles=10 | size(GB)=1.25
run=371 | starting date=Mon Apr 19 01:32:30 2021 | nfiles=10 | size(GB)=1.25
run=381 | starting date=Mon Apr 19 01:55:41 2021 | nfiles=10 | size(GB)=1.25
run=396 | starting date=Mon Apr 19 02:31:06 2021 | nfiles=10 | size(GB)=1.25
run=468 | starting date=Mon Apr 19 04:44:38 2021 | nfiles=10 | size(GB)=1.25
run=255 | starting date=Sun Apr 18 20:47:38 2021 | nfiles=10 | size(GB)=1.25
run=453 | starting date=Mon Apr 19 04:30:40 2021 | nfiles=10 | size(GB)=1.25
run=158 | starting date=Sun Apr 18 16:51:19 2021 | nfiles=10 | size(GB)=1.25
run=444 | starting date=Mon Apr 19 04:21:15 2021 | nfiles=10 | size(GB)=1.25
run=533 | starting date=Mon Apr 19 05:45:28 2021 | nfiles=10 | size(GB)=1.25
run=190 | starting date=Sun Apr 18 17:32:50 2021 | nfiles=10 | size(GB)=1.25
run=430 | starting date=Mon Apr 19 04:06:56 2021 | nfiles=10 | size(GB)=1.25
run=197 | starting date=Sun Apr 18 17:41:42 2021 | nfiles=10 | size(GB)=1.25
run=181 | starting date=Sun Apr 18 17:20:49 2021 | nfiles=10 | size(GB)=1.25
run=544 | starting date=Mon Apr 19 05:55:19 2021 | nfiles=10 | size(GB)=1.25
run=521 | starting date=Mon Apr 19 05:33:14 2021 | nfiles=10 | size(GB)=1.25
run=524 | starting date=Mon Apr 19 05:36:27 2021 | nfiles=10 | size(GB)=1.25
run=282 | starting date=Sun Apr 18 22:16:04 2021 | nfiles=10 | size(GB)=1.25
run=464 | starting date=Mon Apr 19 04:40:58 2021 | nfiles=10 | size(GB)=1.25
run=443 | starting date=Mon Apr 19 04:19:36 2021 | nfiles=10 | size(GB)=1.25
run=92 | starting date=Sun Apr 18 15:06:38 2021 | nfiles=10 | size(GB)=1.25
run=338 | starting date=Mon Apr 19 00:15:51 2021 | nfiles=10 | size(GB)=1.25
run=447 | starting date=Mon Apr 19 04:24:54 2021 | nfiles=10 | size(GB)=1.25
run=310 | starting date=Sun Apr 18 23:17:52 2021 | nfiles=10 | size(GB)=1.25
run=147 | starting date=Sun Apr 18 16:34:46 2021 | nfiles=10 | size(GB)=1.25
run=184 | starting date=Sun Apr 18 17:24:44 2021 | nfiles=10 | size(GB)=1.25
run=323 | starting date=Sun Apr 18 23:46:07 2021 | nfiles=10 | size(GB)=1.25
run=376 | starting date=Mon Apr 19 01:44:26 2021 | nfiles=10 | size(GB)=1.25
run=232 | starting date=Sun Apr 18 18:31:18 2021 | nfiles=10 | size(GB)=1.25
run=446 | starting date=Mon Apr 19 04:23:45 2021 | nfiles=10 | size(GB)=1.25
run=427 | starting date=Mon Apr 19 04:04:07 2021 | nfiles=10 | size(GB)=1.25
run=510 | starting date=Mon Apr 19 05:21:48 2021 | nfiles=10 | size(GB)=1.25
run=187 | starting date=Sun Apr 18 17:29:00 2021 | nfiles=10 | size(GB)=1.25
run=497 | starting date=Mon Apr 19 05:10:08 2021 | nfiles=10 | size(GB)=1.25
run=349 | starting date=Mon Apr 19 00:40:05 2021 | nfiles=10 | size(GB)=1.25
run=321 | starting date=Sun Apr 18 23:41:49 2021 | nfiles=10 | size(GB)=1.25
run=352 | starting date=Mon Apr 19 00:46:18 2021 | nfiles=10 | size(GB)=1.25
run=410 | starting date=Mon Apr 19 03:09:07 2021 | nfiles=10 | size(GB)=1.25
run=139 | starting date=Sun Apr 18 16:21:31 2021 | nfiles=10 | size(GB)=1.25
run=245 | starting date=Sun Apr 18 20:26:40 2021 | nfiles=10 | size(GB)=1.25
run=155 | starting date=Sun Apr 18 16:47:02 2021 | nfiles=10 | size(GB)=1.25
run=449 | starting date=Mon Apr 19 04:26:55 2021 | nfiles=10 | size(GB)=1.25
run=499 | starting date=Mon Apr 19 05:11:53 2021 | nfiles=10 | size(GB)=1.25
run=377 | starting date=Mon Apr 19 01:46:40 2021 | nfiles=10 | size(GB)=1.25
run=545 | starting date=Mon Apr 19 05:56:12 2021 | nfiles=10 | size(GB)=1.25
run=152 | starting date=Sun Apr 18 16:42:47 2021 | nfiles=10 | size(GB)=1.25
run=498 | starting date=Mon Apr 19 05:11:00 2021 | nfiles=10 | size(GB)=1.25
run=412 | starting date=Mon Apr 19 03:14:46 2021 | nfiles=10 | size(GB)=1.25
run=163 | starting date=Sun Apr 18 16:57:39 2021 | nfiles=10 | size(GB)=1.25
run=266 | starting date=Sun Apr 18 21:13:55 2021 | nfiles=10 | size(GB)=1.25
run=437 | starting date=Mon Apr 19 04:13:21 2021 | nfiles=10 | size(GB)=1.25
run=428 | starting date=Mon Apr 19 04:05:03 2021 | nfiles=10 | size(GB)=1.25
run=445 | starting date=Mon Apr 19 04:22:32 2021 | nfiles=10 | size(GB)=1.25
run=455 | starting date=Mon Apr 19 04:32:34 2021 | nfiles=10 | size(GB)=1.25
run=439 | starting date=Mon Apr 19 04:15:25 2021 | nfiles=10 | size(GB)=1.25
run=479 | starting date=Mon Apr 19 04:53:50 2021 | nfiles=10 | size(GB)=1.25
